batch_size.evaluation	evaluation	path	training
1024	31.021438598632812	complex/trouillon2016_complex_fb15k.json	1.827806282043457
256	4.746052265167236	complex/trouillon2016_complex_wn18.json	0.36449394226074217
2048	15.175896167755127	conve/dettmers2018_conve_fb15k.json	32.02347240447998
4096	6.952138900756836	conve/dettmers2018_conve_fb15k237.json	17.444180917739867
8192	3.979680061340332	conve/dettmers2018_conve_wn18.json	32.08411064147949
4096	2.390557289123535	conve/dettmers2018_conve_wn18rr.json	19.340176582336426
32	113.86807107925415	convkb/nguyen2018_convkb_fb15k237.json	5.623247241973877
4	229.65697264671326	convkb/nguyen2018_convkb_wn18rr.json	2.274687576293945
4096	9.86320161819458	convkb/nguyen2018_transe_fb15k237.json	2.304577445983887
2048	19.562544584274292	distmult/yang2014_distmult_fb15k.json	3.5463189125061034
1024	4.716632843017578	distmult/yang2014_distmult_wn18.json	1.373633337020874
512	34.93160533905029	hole/nickel2016_hole_fb15k.json	0.8114243030548096
256	7.370163202285767	hole/nickel2016_hole_wn18.json	0.4553260326385498
2048	28.49927306175232	kg2e/he2015_kg2e_fb15k.json	2.6026907920837403
1024	7.71472430229187	kg2e/he2015_kg2e_wn18.json	38.04337100982666
1024	15.51103925704956	mure/balazevic2019_mure_fb15k237.json	12.894137287139893
256	144.05696630477905	quate/zhang2019_quate_fb15k.json	1.5077387809753418
512	31.55549693107605	quate/zhang2019_quate_fb15k237.json	0.6327661991119384
64	49.746681928634644	quate/zhang2019_quate_wn18.json	1.7024828910827636
128	13.313127517700195	quate/zhang2019_quate_wn18rr.json	0.5839082717895507
256	86.14422821998596	rotate/sun2019_rotate_fb15k.json	82.6045967578888
256	29.337369203567505	rotate/sun2019_rotate_fb15k237.json	91.85465803146363
256	11.969523429870605	rotate/sun2019_rotate_wn18.json	98.09528822898865
256	7.80864691734314	rotate/sun2019_rotate_wn18rr.json	60.45014009475708
1024	29.497436046600342	simple/kazemi2018_simple_fb15k.json	2.608071517944336
1024	9.06259036064148	simple/kazemi2018_simple_wn18.json	0.9677006721496582
2048	34.54206871986389	transd/ji2015_transd_fb15k.json	16.6326443195343
1024	10.18949007987976	transd/ji2015_transd_wn18.json	4.865910863876342
2048	17.733282566070557	transe/bordes2013_transe_fb15k.json	22.46914396286011
8192	5.315532684326172	transe/bordes2013_transe_wn18.json	6.628315019607544
2048	29.929590225219727	transh/wang2014_transh_fb15k.json	2.0839001655578615
2048	8.578476905822754	transh/wang2014_transh_wn18.json	0.5796948909759522
2048	33.42562985420227	transr/li2015_transr_fb15k.json	2.437476301193237
1024	9.90921139717102	transr/li2015_transr_wn18.json	0.9390138626098633
1024	22.204118728637695	tucker/balazevic2019_tucker_fb15k.json	79.91824607849121
2048	9.888858556747437	tucker/balazevic2019_tucker_fb15k237.json	42.80506386756897
1024	6.108567476272583	tucker/balazevic2019_tucker_wn18.json	110.96793870925903
1024	4.860883474349976	tucker/balazevic2019_tucker_wn18rr.json	66.46239786148071
